field_name,field_index,field_type,dim
user_age,2,1,2
user_gender,3,1,2
user_occupation,4,1,2
user_rate_std,6,1,2
user_rate_std_7day,7,1,2
user_rate_std_15day,8,1,2
user_rate_std_30day,9,1,2
user_movie_rate_cnt,10,1,2
user_movie_rate_cnt_7day,11,1,2
user_movie_rate_cnt_15day,12,1,2
user_movie_rate_cnt_30day,13,1,2
user_avg_rate,14,1,2
user_avg_rate_7day,15,1,2
user_avg_rate_15day,16,1,2
user_avg_rate_30day,17,1,2
user_rate_std_continue,18,0,2
user_rate_std_7day_continue,19,0,2
user_rate_std_15day_continue,21,0,2
user_rate_std_30day_continue,22,0,2
user_avg_rate_continue,23,0,2
user_avg_rate_7day_continue,24,0,2
user_avg_rate_15day_continue,25,0,2
user_avg_rate_30day_continue,26,0,2
movie_title,102,1,3
movie_genres,103,1,4
movie_rate_count,104,1,2
movie_avg_rate,105,1,2
movie_genre_cnt,106,1,2
item_hot_rank,107,1,2
movie_publish_year,108,1,2
movie_avg_rate_continue,109,0,2
context_time_hour,201,1,2
context_time_area,202,1,2
context_time_week,203,1,2
context_is_weekend,204,1,2
user_watch_same_genre,351,1,2
user_watch_same_genre_1day,352,1,2
user_watch_same_genre_3day,353,1,2
user_watch_same_genre_7day,354,1,2
user_watch_same_genre_15day,355,1,2
user_same_genre_avg_rate,356,1,2
user_same_genre_avg_rate_continue,357,0,2
